reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
49a5046e-c5cb-4b06-be25-563b40b357e1,Fabio Ribeiro,https://play-lh.googleusercontent.com/a-/ALV-UjVmO87vzIbMFSGLMUha3pez-NOHOuszrNfQBH7pm3NnJD24r6g,"tive que fazer um pix para ter o plano tentei cadastrar 5 cartões de crédito além de outras pessoas e falava para ligar para operadora do cartão. liguei para o cartão disseram que foi cadastrado o serviço mas no aplicativo diz que não, ou seja, paguei no pix e cadastrou e debitou do meu cartão duas vezes o mesmo serviço terei que abrir reclamação na Anatel e consumidor.gov. Aí eles se mexem. tenho outro número com o mesmo serviço e está funcionando ok",1,0,4.2.67,2024-05-26 08:24:40,"Lamento por isso, Fabio. Para que eu consiga te ajudar com mais rapidez, peço que envie um e-mail para suporteapp.br@telefonica.com, informando nome completo, número do telefone com DDD, print da tela detalhando o que houve e um print do comentário feito aqui na loja. Te espero lá para resolvermos isso!",2024-05-26 08:52:24,4.2.67
a34c250a-d8f3-4d9a-a45c-885e175a2d7b,Gustavo H. Maçaneiro (Guga),https://play-lh.googleusercontent.com/a-/ALV-UjX42LbGXwNT_YxpMG61Nibrf8glof0ubzYGHd0zrvud2xo76hqt,Muito bom! Bem prático a forma de pagamento.,5,0,4.2.66,2024-05-26 01:08:03,"Ei, Guga! Agradeço seu comentário, fico feliz em saber que gosta do app. Pode me chamar sempre que precisar!",2024-05-26 09:24:02,4.2.66
31998d9e-3c70-401c-a3c8-319299446324,Michel Lima,https://play-lh.googleusercontent.com/a-/ALV-UjWeZUWXdyVO8fAfIp2kimHrcHT9173Ejs2_cbaOo6IUM6mtryYW,"Manter meus dados de franquia para o próximo mês quando não uso tudo, é definitivamente o motivo de eu manter minha assinatura.",5,0,4.2.67,2024-05-25 22:36:56,Fico feliz com seu feedback! Ele nos motiva a tornar o Vivo Easy cada vez melhor. :),2024-05-26 08:41:07,4.2.67
9f1036f3-1b18-4a31-90e9-8dcb06a80a93,JOSE ADAO,https://play-lh.googleusercontent.com/a-/ALV-UjUrQWePAoMoGTZ2YmopQYaQlqv_ktDKh4nbSHLyRcQYySElFK_c,Aplicativo muito bom tá gastando muito internet,5,4,4.2.67,2024-05-25 19:30:35,"Olá, José! O Vivo Easy oferece a oportunidade de montar o seu pacote de voz e internet como você quiser e sem validade. E mais, você pode ativar a trava de gastos para não ter que se preocupar com as despesas. Precisando é só chamar ;)",2024-05-25 19:56:46,4.2.67
a32d8bb0-0824-45ee-806c-5eb4fc1f2f55,Ivan Campos Van,https://play-lh.googleusercontent.com/a-/ALV-UjVnfPjRYIpaYwTa8GTofzAQQDkh-gA7m-FURLfad4TmELGzB6FFvg,Gostei muito,5,0,4.2.67,2024-05-25 18:29:40,Agradeço pela sua avaliação e feedback! 💜,2024-05-25 18:43:59,4.2.67
108da43d-a54f-4e1b-bbf9-4e3c19ab97c3,Celia Maria,https://play-lh.googleusercontent.com/a/ACg8ocLwN5PvUMexGRsmvCaFt4iIAN0FMfcxRoS9dgHwVpg5gfxaYA=mo,Pratico e rápido gostei muito. 👍 muito,5,0,4.2.67,2024-05-25 15:48:37,Agradeço pela sua avaliação e feedback! 💜,2024-05-25 16:12:44,4.2.67
83d76bff-d77b-4e2a-8bfa-805c69f9c8a8,Maria Gabrielly,https://play-lh.googleusercontent.com/a-/ALV-UjW4wlUpzntrReodj72fT468yvxsEs9QA5mCPTCi9b8ZoP9C7kQnKQ,"Gostava muito do aplicativo, não tive nenhum problema até então, porém não consigo mais pagar a assinatura com meu cartão! Não há nenhum problema com o cartão (como já verifiquei com o banco), e foi mesmo que utilizei durante meus 2 anos de assinatura do plano. Não tenho interesse em mudar o método de pagamento, então se a situação não for resolvida terei de cancelar meu plano.",2,0,4.2.67,2024-05-25 12:30:59,"Lamento por isso, Maria. Para que eu consiga te ajudar com mais rapidez, peço que envie um e-mail para suporteapp.br@telefonica.com, informando nome completo, número do telefone com DDD, print da tela detalhando o que houve e um print do comentário feito aqui na loja. Te espero lá para resolvermos isso!",2024-05-25 13:31:38,4.2.67
83dc64ff-dc7f-4fd9-82e5-ffdcd863240c,Katieli Santos,https://play-lh.googleusercontent.com/a-/ALV-UjVdYs79yFc3bbIKtGPvOjlyUpM22eTa7k19fKab6U_JFnuHltAvqw,Estou amando a experiência,5,0,4.2.67,2024-05-25 12:05:26,"Olá, Katieli! Que bom que gostou! Estamos sempre em busca de melhorias no app ;)",2024-05-25 13:19:27,4.2.67
f02e643d-99a5-4bbe-97b7-9ba348011a01,Elaine Bardemaker,https://play-lh.googleusercontent.com/a/ACg8ocKv-fPnb7m9Ox0Jm1N-hL9MbZM24YAqAUv0a-Yf4uMGAqCRmA=mo,Muitas vezes caí a conexão. Mas tem sido muito útil esse aplicativo aqui no Rio Grande do Sul.,4,0,4.2.66,2024-05-25 10:29:55,"Olá, Eliane! Para que eu consiga te ajudar com mais rapidez, peço que envie um e-mail para suporteapp.br@telefonica.com, informando nome completo, número do telefone com DDD e um print do comentário feito aqui na loja. Te espero lá para resolvermos isso!
",2024-05-25 12:13:08,4.2.66
36d8ccad-576f-4de9-b00c-0f58655c69df,Sandra Santos,https://play-lh.googleusercontent.com/a-/ALV-UjXvDiFf_yRJZjuqae7Y6IwMglVATuBeoZ3ZIJGBGQ-bciLAtZwOFw,"Muito boa, principalmente o fato de acumular internet é top",5,0,4.2.67,2024-05-25 09:55:03,"Olá, Sandra! Fico feliz com seu feedback! Ele nos motiva a tornar o Vivo Easy cada vez melhor. :)",2024-05-25 11:56:20,4.2.67
