,date,developerResponse,review,rating,isEdited,title,userName
0,2017-08-28 19:54:18,"{'id': 1123005, 'body': 'Olá, tudo bem? Obrigado pelo seu comentário, vamos verificar o que está causando esse erro, fique atento às atualizações!', 'modified': '2017-08-28T13:56:40Z'}","Tenho meu plano pós pago e não consigo ver os dados em nenhum aplicativo, após contato com a vivo e depois de muito tempo, o problema foi resolvido",4,True,Problema resolvido,mto booooom
1,2021-10-14 15:14:31,"{'id': 25711010, 'body': 'Ei, valeu por compartilhar seu código promocional. Para o que precisar, conte comigo!', 'modified': '2021-10-16T03:36:15Z'}",Usei o código 35NACONTA assim que abri app do Vivo Easy e ganhei muita internet sem validade para gastar e mais 35 reais de volta na conta para gastar com o que quiser. Dei sorte de ter encontrado esse código 35NACONTA,5,False,🤑 Usei o código 35NACONTA 💰,SpcFilho
2,2020-04-23 14:55:02,"{'id': 14878535, 'body': 'Ei, valeu por compartilhar seu código promocional. Para o que precisar, conte comigo!', 'modified': '2020-04-24T05:38:27Z'}","Código A123
Use esse código para ganhar 3GB e R$10 para gastar no APP. 
Código A123",5,False,Ganhe 3GB e R$10,Recomendado Apple
3,2018-12-18 11:01:43,"{'id': 6451904, 'body': 'Olá! Obrigada pela sugestão. Vamos avaliar a inclusão dessa funcionalidade no app. Conte com a gente e aguarde as atualizações! :)', 'modified': '2018-12-19T03:27:07Z'}",Toda vez que vai entrar tem que logar. Nada prático de mexer. Lembra a raiva que passava no Windows 8. 🙄,3,False,Aplicativo muito ruim,pemg20
4,2021-10-14 03:09:30,"{'id': 25692842, 'body': 'Agradeço por compartilhar a sua experiência, Sergio. Conte comigo, tá?', 'modified': '2021-10-15T06:08:03Z'}","Pra quem não tá conseguindo, é só usar o código 35NACONTA na hora que for criar a conta no Vivo Easy. Eu usei ele e deu certo! Quem tiver dúvida com dúvida, não tem erro, é só usar o código na hora que for criar a conta. Obrigado para o amigo que compartilhou.",5,False,O código 35NACONTA me salvou 🙏🏼,sergiop.cunha
5,2021-10-14 03:10:14,"{'id': 25698742, 'body': 'Fico feliz que está utilizando o Vivo Easy, Leila. Qualquer dúvida, é só chamar! :)', 'modified': '2021-10-15T10:30:16Z'}",Eu também usei o código 35NACONTA e foi a melhor coisa que eu fiz. Realmente muita internet e os 35 reais de cashback é real 🤯,5,False,Também usei o código 35NACONTA,LeilaLane
6,2020-03-14 16:09:51,"{'id': 14060809, 'body': 'Ei, Geli, valeu por compartilhar seu código promocional. Para o que precisar, conte comigo!', 'modified': '2020-03-17T23:20:38Z'}","Insira o código AA123 e ganhe 3GB de internet ilimitada e ainda R$10 em créditos para gastar como quiser dentro do APP. 
Código AA123",5,False,Ganhe 3GB+R$10 Código AA123,Geli CBK
7,2018-07-25 01:42:48,"{'id': 4397975, 'body': 'Olá! Lamentamos que tenha tido uma experiência ruim e informamos que estamos trabalhando para sempre aprimorar o app Vivo Easy. Conte conosco e aguarde as atualizações!', 'modified': '2018-07-25T21:19:26Z'}","Meu app atualizou ontem (23/07) e minha nossa tá muito ruim olhar tudo, to tentando desde ontem descobrir onde fica a página que fala do meu saldo de internet, renovação automática e tá muito ruim. Tentaram inovar, mas é o app menos funcional que eu já vi na vida... e por ser um essencial se vcs não ajeitarem isso até de operadora vou precisar mudar. Era tão prático aquele, se quisessem modernizar  mudassem só o layout mas mudar a funcionalidade ou melhor excluir essa palavra do vivo easy foi um puta erro, alô alô vivo muda isso PELO AMOR DE DEUS",1,False,Péssima atualização,Driellygloria
8,2017-09-21 02:18:24,"{'id': 1331080, 'body': 'Oi Matheus, tudo bem? Agradecemos seu comentário. Vamos verificar o que está causando esse erro no app. Se desejar, envie e-mail para appvivo@vivo.com.br, informando nome completo, e-mail e número do telefone com DDD. Conte conosco sempre!', 'modified': '2017-09-22T13:41:02Z'}",Faço todo cadastro debita do cartao e depois diz que deu erro e a linha nao eh vivo easy e tenho que repetir o processo,1,False,Faço todo processo e fica num loading pra depois dizer que deu erro,Matheus1394
9,2020-09-28 03:51:27,"{'id': 18164526, 'body': 'Olám Karla. O Vivo Easy está em constante evolução para melhorias no produto e novas parcerias. Assim que tivermos novidades sobre novos parceiros comunicaremos a todos no app. Fique ligado em nossas atualizações!', 'modified': '2020-09-29T06:28:48Z'}","Pra ficar perfeito só falta adicionarem a possibilidade de comprar diárias para o Instagram!!! 🙏🏼🙏🏼🙏🏼

💡 Ahhh usem o código promocional KARLA1 pra ganhar 3GB e R$10,00 de bonus! 📲💰",5,False,Instagram,Karlaabarbosa
